feature,mean_accuracy,std_accuracy,n_runs
common_variable_immunodeficiency,1.0,0.0,3
differentiation_status,1.0,0.0,3
olgim_stage,1.0,0.0,3
lymph_node_metastasis_risk,1.0,0.0,3
life_expectancy,1.0,0.0,3
gastric_malt_lymphoma,1.0,0.0,3
horizontal_margin_status,1.0,0.0,3
pt_category,1.0,0.0,3
resection_curability,1.0,0.0,3
submucosal_invasion_depth,1.0,0.0,3
patient_age,1.0,0.0,3
neoplastic_lesion_ulceration,1.0,0.0,3
olga_stage,1.0,0.0,3
neoplastic_lesion_visibility,1.0,0.0,3
vertical_margin_status,1.0,0.0,3
en_bloc_resection_margins,0.9833333333333334,0.028867513459481298,3
pepsinogen_ii_level,0.9833333333333334,0.028867513459481298,3
dysplasia,0.9833333333333334,0.028867513459481298,3
dysplasia_grade,0.9833333333333334,0.028867513459481298,3
atrophic_gastritis,0.9833333333333334,0.028867513459481322,3
helicobacter_pylori_status,0.9833333333333334,0.028867513459481298,3
eggim_score,0.9833333333333334,0.028867513459481298,3
family_history,0.9833333333333334,0.028867513459481298,3
recommended_treatment,0.9833333333333334,0.028867513459481322,3
incomplete_intestinal_metaplasia,0.9833333333333334,0.028867513459481322,3
neoplastic_lesion_size,0.9833333333333334,0.028867513459481298,3
pepsinogen_i_level,0.9833333333333334,0.028867513459481298,3
kimura_takemoto_classification,0.9833333333333334,0.028867513459481298,3
lymphovascular_invasion,0.9833333333333334,0.028867513459481298,3
neoplastic_lesion,0.9833333333333334,0.028867513459481298,3
dysplasia_visibility,0.9666666666666667,0.05773502691896256,3
smoking_status,0.9666666666666667,0.05773502691896256,3
piecemeal_resection,0.9666666666666667,0.05773502691896256,3
en_bloc_resection,0.9666666666666667,0.05773502691896256,3
lesion_paris_classification,0.9500000000000001,0.05000000000000002,3
submucosal_invasion,0.9500000000000001,0.04999999999999993,3
autoimmune_gastritis,0.9333333333333332,0.07637626158259736,3
hereditary_syndrome,0.9166666666666666,0.02886751345948125,3
indefinite_for_dysplasia,0.8666666666666667,0.05773502691896258,3
