feature,mean_accuracy,std_accuracy,n_runs
Gastric MALT Lymphoma,1.0,0.0,3
Life Expectancy,1.0,0.0,3
Atrophic Gastritis,0.9666666666666667,0.05773502691896256,3
Helicobacter pylori Status,0.9666666666666667,0.05773502691896255,3
Incomplete Intestinal Metaplasia,0.9666666666666667,0.05773502691896255,3
Dysplasia Grade,0.9333333333333332,0.05773502691896253,3
Dysplasia,0.9333333333333332,0.05773502691896253,3
Pepsinogen II Level,0.9333333333333332,0.05773502691896256,3
Hereditary Syndrome,0.9,0.0,3
Pepsinogen I Level,0.9,0.0,3
Autoimmune Gastritis,0.9,0.0,3
Submucosal Invasion Depth,0.9,0.09999999999999995,3
OLGIM Stage,0.8666666666666667,0.23094010767585027,3
Dysplasia Visibility,0.8666666666666667,0.05773502691896256,3
Family History,0.8666666666666667,0.05773502691896258,3
OLGA Stage,0.8333333333333334,0.11547005383792516,3
Neoplastic Lesion,0.8000000000000002,0.0,3
Submucosal Invasion,0.7999999999999999,0.10000000000000007,3
Neoplastic Lesion Ulceration,0.7999999999999999,0.10000000000000005,3
Horizontal Margin Status,0.7999999999999999,0.17320508075688776,3
Smoking Status,0.7999999999999999,0.10000000000000006,3
Indefinite for Dysplasia,0.7666666666666666,0.05773502691896262,3
Differentiation Status,0.7666666666666666,0.1527525231651947,3
Patient Age,0.7666666666666666,0.1154700538379252,3
En bloc Resection Margins,0.7333333333333334,0.057735026918962644,3
Vertical Margin Status,0.7333333333333334,0.20816659994661327,3
Piecemeal Resection,0.7333333333333334,0.11547005383792525,3
Common Variable Immunodeficiency,0.7000000000000001,0.10000000000000006,3
Resection Curability,0.7000000000000001,0.10000000000000007,3
EGGIM Score,0.7000000000000001,0.10000000000000007,3
En bloc Resection,0.7000000000000001,0.10000000000000006,3
Kimura Takemoto Classification,0.6666666666666666,0.1154700538379252,3
Neoplastic Lesion Size,0.6666666666666666,0.11547005383792516,3
Lymphovascular Invasion,0.6666666666666666,0.057735026918962595,3
Lesion Paris Classification,0.6333333333333333,0.11547005383792512,3
Lymph Node Metastasis Risk,0.6333333333333333,0.20816659994661327,3
Neoplastic Lesion Visibility,0.5666666666666667,0.05773502691896253,3
Treatment Approach,0.5333333333333333,0.057735026918962595,3
MALT Lymphoma Precancerous Conditions,0.5,0.09999999999999998,3
