feature,mean_accuracy,std_accuracy,n_runs
autoimmune_gastritis,1.0,0.0,3
common_variable_immunodeficiency,1.0,0.0,3
dysplasia,1.0,0.0,3
dysplasia_visibility,1.0,0.0,3
dysplasia_grade,1.0,0.0,3
en_bloc_resection_margins,1.0,0.0,3
eggim_score,1.0,0.0,3
treatment_approach,1.0,0.0,3
submucosal_invasion_depth,1.0,0.0,3
gastric_malt_lymphoma,1.0,0.0,3
malt_lymphoma_precancerous_conditions,1.0,0.0,3
life_expectancy,1.0,0.0,3
kimura_takemoto_classification,1.0,0.0,3
indefinite_for_dysplasia,1.0,0.0,3
incomplete_intestinal_metaplasia,1.0,0.0,3
lymph_node_metastasis_risk,1.0,0.0,3
resection_curability,1.0,0.0,3
pepsinogen_i_level,1.0,0.0,3
patient_age,1.0,0.0,3
olga_stage,1.0,0.0,3
olgim_stage,1.0,0.0,3
neoplastic_lesion_ulceration,1.0,0.0,3
neoplastic_lesion_size,1.0,0.0,3
pepsinogen_ii_level,1.0,0.0,3
submucosal_invasion,1.0,0.0,3
smoking_status,1.0,0.0,3
differentiation_status,0.9666666666666667,0.05773502691896256,3
vertical_margin_status,0.9666666666666667,0.05773502691896255,3
piecemeal_resection,0.9666666666666667,0.05773502691896255,3
en_bloc_resection,0.9666666666666667,0.05773502691896255,3
horizontal_margin_status,0.9666666666666667,0.05773502691896255,3
neoplastic_lesion_visibility,0.9333333333333332,0.05773502691896258,3
neoplastic_lesion,0.9333333333333332,0.05773502691896258,3
family_history,0.9,0.09999999999999995,3
atrophic_gastritis,0.8666666666666667,0.1527525231651947,3
lymphovascular_invasion,0.7666666666666666,0.057735026918962644,3
helicobacter_pylori_status,0.7333333333333334,0.11547005383792519,3
lesion_paris_classification,0.7000000000000001,0.10000000000000005,3
hereditary_syndrome,0.6666666666666666,0.41633319989322654,3
